Table S13. Domain architectures of high-confidence lysins identified in the GCSV.,,,,,,,,,,,
vPC_id,Sequence.length,Analysis,Signature.accession,Signature.description,Start.location,Stop.location,E-value,InterPro.annotations-accession,InterPro.annotations.-description,GO.annotation,Pathways.annotations
A1_k141_1694448_length_5971_cov_5.0000_6,138,Pfam,PF01551,Peptidase family M23,31,123,2.6E-22,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
A1_k141_4561677_length_46259_cov_10.0000_19,194,Pfam,PF01464,Transglycosylase SLT domain,86,158,5.7E-09,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
A10_k141_107249_length_20465_cov_10.0000_36,283,Pfam,PF01464,Transglycosylase SLT domain,146,242,6.1E-21,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
A10_k141_1504930_length_38102_cov_9.0000_23,193,Pfam,PF01464,Transglycosylase SLT domain,55,140,7E-10,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
A10_k141_3318314_length_81421_cov_63.0000_58,177,Pfam,PF01832,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,16,168,1.7E-17,IPR002901,Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase-like domain,GO:0004040(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862
A10_k141_4745407_length_129294_cov_19.0000_1_70,533,Pfam,PF01551,Peptidase family M23,37,125,5E-10,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
A10_k141_5372829_length_10453_cov_7.0000_5,324,Pfam,PF01551,Peptidase family M23,200,296,1E-29,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
A2_k141_1614488_length_74431_cov_10.0000_48,246,Pfam,PF00877,NlpC/P60 family,134,242,0.000000057,IPR000064,"Endopeptidase, NLPC/P60 domain",-,MetaCyc:PWY-7883
A2_k141_2027671_length_39249_cov_30.0000_63,129,Pfam,PF08291,Peptidase M15,9,110,7.8E-20,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
A2_k141_285773_length_11021_cov_7.0000_11,150,Pfam,PF01551,Peptidase family M23,35,122,4E-19,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
A2_k141_5861558_length_29555_cov_8.8974_19,244,Pfam,PF01464,Transglycosylase SLT domain,130,218,1.2E-09,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
